61	TGFNX	Oct 20, 2017	10.96	Jul 24, 2017	10.94	0.18281555	11.01	-0.45413208
62	VBMFX	Oct 20, 2017	10.76	Jul 24, 2017	10.74	0.18622589	10.81	-0.46253967
63	NCITX	Oct 20, 2017	10.72	Jul 24, 2017	10.7	0.18692017	10.73	-0.093193054
64	FCSTX	Oct 20, 2017	10.66	Jul 24, 2017	10.64	0.18797302	10.66	0.0
65	VFIIX	Oct 20, 2017	10.5	Jul 24, 2017	10.48	0.19084167	10.56	-0.5681839
66	TGMNX	Oct 20, 2017	10.29	Jul 24, 2017	10.27	0.1947403	10.34	-0.48355865
67	FSHFX	Sep 06, 2017	9.66	Jun 07, 2017	9.64	0.2074585	9.66	0.0
68	FFKVX	Sep 13, 2017	13.25	Jun 14, 2017	13.22	0.22692871	13.23	0.15116882
69	PRIPX	Oct 20, 2017	11.9	Jul 24, 2017	11.87	0.25273895	11.97	-0.5848007
70	FBNDX	Oct 20, 2017	7.92	Jul 24, 2017	7.9	0.2531662	7.96	-0.5025177
71	SMDMX	Oct 20, 2017	11.41	Jul 24, 2017	11.38	0.26361847	11.39	0.17558289
72	PGNDX	Oct 20, 2017	11.1	Jul 24, 2017	11.07	0.27101135	11.16	-0.5376282
73	SWRSX	Oct 20, 2017	11.05	Jul 24, 2017	11.02	0.27222443	11.11	-0.5400467
74	FTBFX	Oct 20, 2017	10.67	Jul 24, 2017	10.64	0.2819519	10.71	-0.37348175
75	TIP	Oct 20, 2017	113.41	Jul 24, 2017	113.08	0.2918396	114.13	-0.6308594
76	FCNVX	Oct 20, 2017	10.04	Jul 24, 2017	10.01	0.29969025	10.04	0.0
77	VIPSX	Oct 20, 2017	13.07	Jul 24, 2017	13.03	0.30699158	13.15	-0.6083679
78	FPHAX	Oct 20, 2017	19.41	Jul 24, 2017	19.35	0.31007385	19.47	-0.30815887
79	NCATX	Oct 20, 2017	11.66	Jul 24, 2017	11.62	0.34423065	11.68	-0.17124176
80	ACITX	Oct 20, 2017	11.59	Jul 24, 2017	11.55	0.34631348	11.66	-0.6003418
81	FSIGX	Oct 20, 2017	11.27	Jul 24, 2017	11.23	0.35620117	11.33	-0.5295639
82	CDSIX	Oct 20, 2017	16.21	Jul 24, 2017	16.15	0.37151337	16.22	-0.061653137	*BT*
83	FSTFX	Oct 20, 2017	10.6	Jul 24, 2017	10.56	0.37878418	10.6	0.0
84	NOITX	Oct 20, 2017	10.57	Jul 24, 2017	10.53	0.37987518	10.57	0.0
85	FFKDX	Sep 13, 2017	14.94	Jun 14, 2017	14.88	0.40322876	14.92	0.13404846
86	XMPT	Oct 20, 2017	27.05	Jul 24, 2017	26.94	0.40831757	27.24	-0.69750214
87	USNYX	Oct 20, 2017	11.97	Jul 24, 2017	11.92	0.4194641	12.0	-0.25
88	GABUX	Oct 20, 2017	9.54	Jul 24, 2017	9.5	0.42105103	9.52	0.21008301
