61	NOAZX	Dec 01, 2017	10.62	Sep 01, 2017	10.69	-0.6548157	10.61	0.09426117
62	FTHRX	Dec 01, 2017	10.83	Sep 01, 2017	10.9	-0.64219666	10.84	-0.09224701
63	TGFNX	Dec 01, 2017	10.93	Sep 01, 2017	11.0	-0.63636017	10.98	-0.45536804
64	PGNDX	Dec 01, 2017	11.06	Sep 01, 2017	11.13	-0.62892914	11.08	-0.18050385
65	FICNX	Dec 01, 2017	11.39	Sep 01, 2017	11.46	-0.61081696	11.4	-0.08771515
66	BCLTX	Oct 20, 2017	11.5	Jul 24, 2017	11.57	-0.605011	11.69	-1.6253204
67	RSX	Dec 01, 2017	21.46	Sep 01, 2017	21.59	-0.6021347	22.48	-4.537369
68	PRNYX	Dec 01, 2017	11.61	Sep 01, 2017	11.68	-0.59931946	11.61	0.0
69	PTTDX	Dec 01, 2017	10.25	Sep 01, 2017	10.31	-0.5819626	10.28	-0.29182434
70	FLTMX	Dec 01, 2017	10.37	Sep 01, 2017	10.43	-0.5752716	10.37	0.0
71	FOHFX	Dec 01, 2017	12.13	Sep 01, 2017	12.2	-0.5737686	12.17	-0.32867432
72	NOITX	Dec 01, 2017	10.51	Sep 01, 2017	10.57	-0.5676422	10.51	0.0
73	VSGBX	Dec 01, 2017	10.63	Sep 01, 2017	10.69	-0.56126404	10.64	-0.09398651
74	BSV	Dec 01, 2017	79.25	Sep 01, 2017	79.69	-0.5521393	79.34	-0.11343384	*P*
75	IHE	Dec 01, 2017	153.85	Sep 01, 2017	154.7	-0.5494461	151.08	1.8334656
76	HLPPX	Dec 01, 2017	14.62	Sep 01, 2017	14.7	-0.54421234	14.63	-0.068351746
77	SMDMX	Dec 01, 2017	11.32	Sep 01, 2017	11.38	-0.52724457	11.34	-0.17636871
78	FIMIX	Dec 01, 2017	11.6	Sep 01, 2017	11.66	-0.51457214	11.59	0.08628082
79	WIP	Dec 01, 2017	57.27	Sep 01, 2017	57.56	-0.50382996	57.27	0.0
80	FPCIX	Dec 01, 2017	10.6	Sep 01, 2017	10.65	-0.4694748	10.64	-0.37593842
81	SHY	Dec 01, 2017	83.98	Sep 01, 2017	84.36	-0.45044708	84.02	-0.047599792
82	FPXTX	Dec 01, 2017	11.13	Sep 01, 2017	11.18	-0.4472351	11.14	-0.089767456
83	FKVFX	Sep 13, 2017	13.85	Jun 14, 2017	13.91	-0.43134308	13.83	0.14461517
84	NCATX	Dec 01, 2017	11.59	Sep 01, 2017	11.64	-0.42955017	11.59	0.0
85	FMHTX	Dec 01, 2017	12.16	Sep 01, 2017	12.21	-0.40950012	12.19	-0.24610138
86	FDFAX	Dec 01, 2017	96.87	Sep 01, 2017	97.25	-0.39074707	95.09	1.8719177
87	KYTFX	Dec 01, 2017	7.73	Sep 01, 2017	7.76	-0.3866043	7.72	0.12953186
88	FFKCX	Sep 13, 2017	13.15	Jun 14, 2017	13.2	-0.37878418	13.13	0.15231323
89	VBMFX	Dec 01, 2017	10.76	Sep 01, 2017	10.8	-0.37036896	10.77	-0.09284973
90	FMSFX	Dec 01, 2017	11.24	Sep 01, 2017	11.28	-0.35461426	11.25	-0.088890076
91	FGMNX	Dec 01, 2017	11.41	Sep 01, 2017	11.45	-0.34934235	11.42	-0.08756256
92	FSHBX	Dec 01, 2017	8.59	Sep 01, 2017	8.62	-0.34802246	8.6	-0.1162796
93	PRXCX	Dec 01, 2017	11.51	Sep 01, 2017	11.55	-0.3463211	11.5	0.08695984
94	FTABX	Dec 01, 2017	11.52	Sep 01, 2017	11.56	-0.34602356	11.53	-0.08672333
95	FUBFX	Dec 01, 2017	11.59	Sep 01, 2017	11.63	-0.3439331	11.6	-0.08620453
96	FBIDX	Dec 01, 2017	11.6	Sep 01, 2017	11.64	-0.3436432	11.61	-0.086128235
97	USNYX	Dec 01, 2017	11.92	Sep 01, 2017	11.96	-0.33444977	11.91	0.08396149
98	VFIIX	Dec 01, 2017	10.49	Sep 01, 2017	10.52	-0.28517914	10.5	-0.09524536
99	NOTEX	Dec 01, 2017	10.66	Sep 01, 2017	10.69	-0.28063965	10.65	0.09390259
100	VBTLX	Dec 01, 2017	10.76	Sep 01, 2017	10.79	-0.2780304	10.77	-0.09284973
101	PRRDX	Dec 01, 2017	11.0	Sep 01, 2017	11.03	-0.2719803	11.01	-0.09082794
102	GTFBX	Dec 01, 2017	11.49	Sep 01, 2017	11.52	-0.26042175	11.47	0.17436981
103	DRTAX	Dec 01, 2017	11.75	Sep 01, 2017	11.78	-0.2546692	11.74	0.08517456
104	PRVAX	Dec 01, 2017	11.99	Sep 01, 2017	12.02	-0.24958801	11.97	0.16708374
105	FSIPX	Dec 01, 2017	9.92	Sep 01, 2017	9.94	-0.2012024	9.92	0.0
106	PRTAX	Dec 01, 2017	10.14	Sep 01, 2017	10.16	-0.19684601	10.13	0.098716736
107	FEDCX	Dec 01, 2017	10.33	Sep 01, 2017	10.35	-0.1932373	10.37	-0.38572693
108	MDXBX	Dec 01, 2017	10.76	Sep 01, 2017	10.78	-0.18552399	10.75	0.09303284
109	CDSIX	Dec 01, 2017	16.15	Sep 01, 2017	16.18	-0.18541718	16.18	-0.18541718	*BT*
110	IGOV	Dec 01, 2017	49.82	Sep 01, 2017	49.91	-0.18032074	49.79	0.06024933
111	ACITX	Dec 01, 2017	11.63	Sep 01, 2017	11.65	-0.171669	11.67	-0.34275818
112	BND	Dec 01, 2017	81.56	Sep 01, 2017	81.7	-0.1713562	81.69	-0.15914154
113	FDMMX	Dec 01, 2017	12.2	Sep 01, 2017	12.22	-0.16366577	12.18	0.16419983
114	FBNDX	Dec 01, 2017	7.93	Sep 01, 2017	7.94	-0.12594604	7.93	0.0
115	VWO	Dec 01, 2017	44.05	Sep 01, 2017	44.1	-0.1133728	45.6	-3.3991241
116	PAUDX	Dec 01, 2017	8.96	Sep 01, 2017	8.97	-0.11148071	9.03	-0.77518463
