62	USVAX	Oct 13, 2017	11.33	Jul 17, 2017	11.23	0.8904724	11.3	0.26548004
63	FFIGX	Sep 06, 2017	15.58	Jun 07, 2017	15.44	0.9067383	15.58	0.0
64	TGFNX	Oct 13, 2017	11.01	Jul 17, 2017	10.91	0.9165878	10.96	0.45619965
65	FFKEX	Sep 13, 2017	16.31	Jun 14, 2017	16.16	0.9282074	16.28	0.18426514
66	FIPAX	Oct 13, 2017	11.9	Jul 17, 2017	11.79	0.932991	11.83	0.5917206
67	NCITX	Oct 13, 2017	10.73	Jul 17, 2017	10.63	0.94072723	10.7	0.280365
68	FTBFX	Oct 13, 2017	10.71	Jul 17, 2017	10.61	0.94252014	10.7	0.09346008
69	NOAZX	Oct 13, 2017	10.7	Jul 17, 2017	10.6	0.9433899	10.67	0.28115845
70	FSITX	Oct 13, 2017	11.65	Jul 17, 2017	11.54	0.9532013	11.61	0.3445282
71	FCVSX	Oct 13, 2017	28.18	Jul 17, 2017	27.91	0.96739197	28.25	-0.24778748
72	FGMNX	Oct 13, 2017	11.48	Jul 17, 2017	11.37	0.967453	11.44	0.34965515
73	TGMNX	Oct 13, 2017	10.34	Jul 17, 2017	10.24	0.9765625	10.3	0.38835144
74	FMSFX	Oct 13, 2017	11.3	Jul 17, 2017	11.19	0.9830246	11.27	0.2661972
75	XMPT	Oct 13, 2017	27.24	Jul 17, 2017	26.97	1.0011215	27.0	0.8888855
76	PRRDX	Oct 13, 2017	11.05	Jul 17, 2017	10.94	1.0054932	10.99	0.54595184
77	PRVAX	Oct 13, 2017	12.04	Jul 17, 2017	11.92	1.0067139	12.01	0.249794
78	USNYX	Oct 13, 2017	12.0	Jul 17, 2017	11.88	1.0100937	11.97	0.2506256
79	VBMFX	Oct 13, 2017	10.81	Jul 17, 2017	10.7	1.0280457	10.77	0.37139893
80	MDXBX	Oct 13, 2017	10.8	Jul 17, 2017	10.69	1.0289993	10.78	0.18553925
81	SWNTX	Oct 13, 2017	11.77	Jul 17, 2017	11.65	1.0300522	11.74	0.25553894
82	FIMIX	Oct 13, 2017	11.67	Jul 17, 2017	11.55	1.0389557	11.63	0.34394073
83	FBIDX	Oct 13, 2017	11.66	Jul 17, 2017	11.54	1.0398636	11.61	0.43066406
84	VFIIX	Oct 13, 2017	10.56	Jul 17, 2017	10.45	1.0526428	10.53	0.2849121
85	VBIIX	Oct 13, 2017	11.49	Jul 17, 2017	11.37	1.0554047	11.43	0.52492523
86	FICNX	Oct 13, 2017	11.46	Jul 17, 2017	11.34	1.058197	11.42	0.35025787
87	TIXRX	Oct 13, 2017	10.49	Jul 17, 2017	10.38	1.0597229	10.46	0.2868042
88	PGNDX	Oct 13, 2017	11.16	Jul 17, 2017	11.04	1.0869522	11.13	0.2695465
89	FINPX	Oct 13, 2017	12.06	Jul 17, 2017	11.93	1.0896912	11.99	0.58382416
90	SWRSX	Oct 13, 2017	11.11	Jul 17, 2017	10.99	1.091896	11.05	0.542984
91	DODIX	Oct 13, 2017	13.85	Jul 17, 2017	13.7	1.0948868	13.81	0.28964233
92	PRIPX	Oct 13, 2017	11.97	Jul 17, 2017	11.84	1.0979767	11.9	0.5882416
93	FTFMX	Oct 13, 2017	13.33	Jul 17, 2017	13.18	1.1380768	13.29	0.3009796
94	GTFBX	Oct 13, 2017	11.55	Jul 17, 2017	11.42	1.1383514	11.52	0.26041412
95	FPCIX	Oct 13, 2017	10.66	Jul 17, 2017	10.54	1.1385193	10.64	0.18797302
96	FBNDX	Oct 13, 2017	7.96	Jul 17, 2017	7.87	1.1435852	7.93	0.37831116
97	VBILX	Oct 13, 2017	11.49	Jul 17, 2017	11.36	1.1443634	11.43	0.52492523
98	NHINX	Oct 13, 2017	8.79	Jul 17, 2017	8.69	1.1507492	8.8	-0.11363983
99	TIP	Oct 13, 2017	114.13	Jul 17, 2017	112.83	1.1521683	113.38	0.6614914
100	VIPSX	Oct 13, 2017	13.15	Jul 17, 2017	13.0	1.1538391	13.07	0.61209106
101	FOHFX	Oct 13, 2017	12.23	Jul 17, 2017	12.09	1.1579742	12.18	0.41049957
102	SMTFX	Oct 13, 2017	10.47	Jul 17, 2017	10.35	1.1594162	10.45	0.19139099
103	FSIGX	Oct 13, 2017	11.33	Jul 17, 2017	11.2	1.1607208	11.29	0.35429382
104	FFVNX	Sep 06, 2017	10.45	Jun 07, 2017	10.33	1.1616592	10.45	0.0
105	EMLC	Oct 13, 2017	19.13	Jul 17, 2017	18.91	1.1633987	18.98	0.79029846
106	FEDFX	Sep 06, 2017	10.42	Jun 07, 2017	10.3	1.1650467	10.42	0.0
107	KYTFX	Oct 13, 2017	7.79	Jul 17, 2017	7.7	1.1688385	7.76	0.38659668
108	FFKFX	Sep 13, 2017	17.17	Jun 14, 2017	16.97	1.1785507	17.14	0.17503357
109	BCITX	Oct 13, 2017	11.96	Jul 17, 2017	11.82	1.1844406	11.93	0.2514572
110	PRTAX	Oct 13, 2017	10.19	Jul 17, 2017	10.07	1.1916504	10.17	0.19664764
111	PRNYX	Oct 13, 2017	11.71	Jul 17, 2017	11.57	1.2100372	11.68	0.2568512
112	ACITX	Oct 13, 2017	11.66	Jul 17, 2017	11.52	1.215271	11.59	0.60395813
113	VGHCX	Oct 13, 2017	215.14	Jul 17, 2017	212.55	1.2185364	216.81	-0.77025604
114	VGHAX	Oct 13, 2017	90.76	Jul 17, 2017	89.66	1.2268524	91.47	-0.776207
115	NOTEX	Oct 13, 2017	10.72	Jul 17, 2017	10.59	1.2275696	10.69	0.28063965
116	FKTHX	Sep 13, 2017	17.15	Jun 14, 2017	16.94	1.2396698	17.12	0.1752243	*P*
117	FLTMX	Oct 13, 2017	10.44	Jul 17, 2017	10.31	1.2609024	10.41	0.2881775
118	FPXTX	Oct 13, 2017	11.21	Jul 17, 2017	11.07	1.264679	11.18	0.2683258
119	LQD	Oct 13, 2017	121.58	Jul 17, 2017	120.05	1.2744675	120.95	0.52088165
120	IHE	Oct 13, 2017	157.88	Jul 17, 2017	155.89	1.2765427	160.14	-1.4112625
