61	PRFSX	Oct 27, 2017	5.6	Jul 31, 2017	5.61	-0.1782608	5.61	-0.1782608
62	VBIIX	Oct 27, 2017	11.4	Jul 31, 2017	11.42	-0.17513275	11.42	-0.17513275
63	BMBSX	Oct 27, 2017	11.89	Jul 31, 2017	11.91	-0.16792297	11.93	-0.335289
64	BTTTX	Oct 27, 2017	104.09	Jul 31, 2017	104.2	-0.10556793	104.06	0.028823853
65	NOAZX	Oct 27, 2017	10.65	Jul 31, 2017	10.66	-0.093811035	10.69	-0.37418365
66	VBMFX	Oct 27, 2017	10.74	Jul 31, 2017	10.75	-0.09302521	10.76	-0.18587494
67	FBIDX	Oct 27, 2017	11.58	Jul 31, 2017	11.59	-0.08628082	11.59	-0.08628082
68	SHY	Oct 27, 2017	84.31	Jul 31, 2017	84.36	-0.059272766	84.29	0.023719788
69	BSV	Oct 27, 2017	79.65	Jul 31, 2017	79.69	-0.050193787	79.65	0.0	*P*
70	FCSTX	Oct 27, 2017	10.64	Jul 31, 2017	10.64	0.0	10.66	-0.18761444
71	IAU	Oct 27, 2017	12.23	Jul 31, 2017	12.22	0.08182526	12.3	-0.5691147
72	FINPX	Oct 27, 2017	11.99	Jul 31, 2017	11.98	0.083473206	11.98	0.083473206
73	FIPAX	Oct 27, 2017	11.84	Jul 31, 2017	11.83	0.08453369	11.83	0.08453369
74	GTFBX	Oct 27, 2017	11.49	Jul 31, 2017	11.48	0.0871048	11.54	-0.43328094
75	PRRDX	Oct 27, 2017	10.98	Jul 31, 2017	10.97	0.09114838	10.98	0.0
76	TGFNX	Oct 27, 2017	10.95	Jul 31, 2017	10.94	0.091407776	10.96	-0.09123993
77	FPCIX	Oct 27, 2017	10.6	Jul 31, 2017	10.59	0.094429016	10.63	-0.28221893
78	FSTFX	Oct 27, 2017	10.58	Jul 31, 2017	10.57	0.09460449	10.6	-0.18868256
79	FSIPX	Oct 27, 2017	9.89	Jul 31, 2017	9.88	0.10121918	9.88	0.10121918
80	GLD	Oct 27, 2017	120.9	Jul 31, 2017	120.75	0.12422943	121.61	-0.5838318
81	FBNDX	Oct 27, 2017	7.91	Jul 31, 2017	7.9	0.12657928	7.92	-0.12626648
82	KYTFX	Oct 27, 2017	7.75	Jul 31, 2017	7.74	0.12919617	7.78	-0.38560486
83	VIPSX	Oct 27, 2017	13.07	Jul 31, 2017	13.05	0.15325928	13.07	0.0
84	FSAZX	Oct 27, 2017	12.05	Jul 31, 2017	12.03	0.16625214	12.1	-0.41322327
85	PRVAX	Oct 27, 2017	11.99	Jul 31, 2017	11.97	0.16708374	12.04	-0.4152832
86	PRIPX	Oct 27, 2017	11.9	Jul 31, 2017	11.88	0.16835022	11.9	0.0
87	PRNYX	Oct 27, 2017	11.66	Jul 31, 2017	11.64	0.17181396	11.7	-0.3418808
88	FSIGX	Oct 27, 2017	11.26	Jul 31, 2017	11.24	0.17794037	11.27	-0.08872986
89	SWRSX	Oct 27, 2017	11.04	Jul 31, 2017	11.02	0.18148804	11.05	-0.09049988
90	CDSIX	Oct 27, 2017	16.19	Jul 31, 2017	16.16	0.18564606	16.21	-0.12336731	*BT*
91	MDXBX	Oct 27, 2017	10.76	Jul 31, 2017	10.74	0.18622589	10.79	-0.2780304
92	FTBFX	Oct 27, 2017	10.65	Jul 31, 2017	10.63	0.1881485	10.67	-0.1874466
93	NOITX	Oct 27, 2017	10.54	Jul 31, 2017	10.52	0.19011688	10.57	-0.2838211
94	TGMNX	Oct 27, 2017	10.28	Jul 31, 2017	10.26	0.19493103	10.29	-0.09718323
95	FCNVX	Oct 27, 2017	10.04	Jul 31, 2017	10.02	0.19959259	10.04	0.0
96	FSHFX	Sep 06, 2017	9.66	Jun 07, 2017	9.64	0.2074585	9.66	0.0
97	FFKVX	Sep 13, 2017	13.25	Jun 14, 2017	13.22	0.22692871	13.23	0.15116882
98	GASFX	Oct 27, 2017	30.25	Jul 31, 2017	30.18	0.23194885	30.32	-0.23087311
99	VCAIX	Oct 27, 2017	11.81	Jul 31, 2017	11.78	0.25467682	11.85	-0.33755493
100	TIP	Oct 27, 2017	113.45	Jul 31, 2017	113.16	0.25626373	113.41	0.03526306
101	SWNTX	Oct 27, 2017	11.73	Jul 31, 2017	11.7	0.2564087	11.76	-0.2551117
102	NCATX	Oct 27, 2017	11.62	Jul 31, 2017	11.59	0.25884247	11.66	-0.34305573
103	ACITX	Oct 27, 2017	11.59	Jul 31, 2017	11.56	0.25952148	11.59	0.0
104	SMDMX	Oct 27, 2017	11.36	Jul 31, 2017	11.33	0.26477814	11.41	-0.43821716
105	FBCVX	Oct 27, 2017	18.8	Jul 31, 2017	18.75	0.2666626	18.94	-0.7391815	*P*
106	NOTEX	Oct 27, 2017	10.67	Jul 31, 2017	10.64	0.2819519	10.71	-0.37348175
107	TIXRX	Oct 27, 2017	10.46	Jul 31, 2017	10.43	0.28762817	10.49	-0.28598022
108	PTTDX	Oct 27, 2017	10.26	Jul 31, 2017	10.23	0.2932663	10.28	-0.19454956
109	FFRHX	Oct 27, 2017	9.66	Jul 31, 2017	9.63	0.31153107	9.66	0.0
110	FRIFX	Oct 27, 2017	12.23	Jul 31, 2017	12.19	0.32813263	12.29	-0.48820496
111	BCITX	Oct 27, 2017	11.91	Jul 31, 2017	11.87	0.33698273	11.95	-0.33472443
112	NHINX	Oct 27, 2017	8.78	Jul 31, 2017	8.75	0.34285736	8.8	-0.22727966
113	FIMIX	Oct 27, 2017	11.64	Jul 31, 2017	11.6	0.34482574	11.68	-0.34246826
114	FICNX	Oct 27, 2017	11.44	Jul 31, 2017	11.4	0.35088348	11.48	-0.34843445
115	USVAX	Oct 27, 2017	11.3	Jul 31, 2017	11.26	0.35523987	11.33	-0.26477814
116	FPXTX	Oct 27, 2017	11.18	Jul 31, 2017	11.14	0.35906982	11.23	-0.44522858
117	DODIX	Oct 27, 2017	13.81	Jul 31, 2017	13.76	0.3633728	13.81	0.0
118	USCBX	Oct 27, 2017	11.04	Jul 31, 2017	11.0	0.3636322	11.08	-0.36101532
