67	FEIKX	Jun 07, 2017	58.97	Mar 08, 2017	58.58	0.6657562	0.63140106
68	USSTX	Jun 07, 2017	10.49	Mar 08, 2017	10.42	0.67178345	0.0
69	RFV	Jun 08, 2017	62.32	Mar 09, 2017	61.9	0.6785126	-0.16020203
70	PYZ	Jun 08, 2017	60.72	Mar 09, 2017	60.31	0.6798172	0.33047485
71	FEQTX	Jun 07, 2017	27.72	Mar 08, 2017	27.53	0.6901474	0.65358734
72	FGIKX	Jun 07, 2017	34.44	Mar 08, 2017	34.2	0.7017517	0.7606735
73	RWJ	Jun 08, 2017	65.85	Mar 09, 2017	65.39	0.7034683	0.21305084
74	PRF	Jun 08, 2017	103.49	Mar 09, 2017	102.76	0.7103882	-0.20250702
75	FETKX	Jun 07, 2017	27.72	Mar 08, 2017	27.52	0.726738	0.65358734
76	LEXCX	Jun 07, 2017	34.12	Mar 08, 2017	33.87	0.73812103	0.2644806
77	RSX	Jun 08, 2017	19.49	Mar 09, 2017	19.34	0.775589	-0.66259766
78	FEXPX	Jun 07, 2017	22.46	Mar 08, 2017	22.28	0.80789185	0.6723404
79	PYVLX	Jun 07, 2017	15.96	Mar 08, 2017	15.83	0.8212204	0.69400024
80	FEXKX	Jun 07, 2017	22.43	Mar 08, 2017	22.24	0.8543167	0.6732483
81	VHDYX	Jun 07, 2017	31.08	Mar 08, 2017	30.8	0.90908813	0.71289825
82	FFXSX	Jun 07, 2017	9.97	Mar 08, 2017	9.88	0.91093445	0.0
83	EEH	Jun 08, 2017	17.65	Mar 09, 2017	17.49	0.9148102	-1.3966522
84	XBI	Jun 08, 2017	71.62	Mar 09, 2017	70.94	0.95856476	2.9318848
85	FSBAX	Jun 07, 2017	10.43	Mar 08, 2017	10.33	0.96806335	0.0
86	GTSGX	Jun 07, 2017	9.28	Mar 08, 2017	9.19	0.97932434	0.32431793
87	HLPPX	Jun 07, 2017	14.76	Mar 08, 2017	14.61	1.0267029	1.0267029
88	CDSIX	Jun 07, 2017	16.2	Mar 08, 2017	16.03	1.0605087	0.06175995	*BT*
89	FCYIX	Jun 07, 2017	33.27	Mar 08, 2017	32.92	1.0631943	-0.6865692
90	FCPVX	Jun 07, 2017	18.9	Mar 08, 2017	18.7	1.0695114	0.7462616
91	FGRTX	Jun 07, 2017	18.43	Mar 08, 2017	18.22	1.1525879	0.8757477
92	JASCX	Jun 07, 2017	33.92	Mar 08, 2017	33.53	1.1631393	1.5872955
93	BSV	Jun 08, 2017	79.89	Mar 09, 2017	78.97	1.1649933	-0.025032043	*P*
94	PRFDX	Jun 07, 2017	32.77	Mar 08, 2017	32.37	1.2357101	0.73778534
95	POGSX	Jun 07, 2017	61.33	Mar 08, 2017	60.58	1.2380371	0.40930176
96	PFODX	Jun 07, 2017	10.57	Mar 08, 2017	10.44	1.2452087	0.094688416
97	VMLTX	Jun 07, 2017	11.01	Mar 08, 2017	10.87	1.2879486	0.090911865
98	PEQKX	Jun 07, 2017	34.22	Mar 08, 2017	33.78	1.3025513	1.0333633	*BT*
99	FSIPX	Jun 07, 2017	9.91	Mar 08, 2017	9.78	1.3292465	0.0
100	FSCGX	Jun 07, 2017	39.44	Mar 08, 2017	38.92	1.3360748	-1.4738998
101	FSPCX	Jun 07, 2017	80.96	Mar 08, 2017	79.89	1.3393402	-0.2218399	*P*
102	FFIPX	Jun 07, 2017	9.93	Mar 08, 2017	9.79	1.4300385	0.10079956
103	PRFSX	Jun 07, 2017	5.64	Mar 08, 2017	5.56	1.4388428	0.1776123
104	FCSTX	Jun 07, 2017	10.68	Mar 08, 2017	10.52	1.5209045	0.09371948
105	FSTFX	Jun 07, 2017	10.61	Mar 08, 2017	10.45	1.5310974	0.094329834
106	FSTGX	Jun 07, 2017	10.55	Mar 08, 2017	10.39	1.5399475	0.09487915
107	BTTTX	Jun 07, 2017	104.13	Mar 08, 2017	102.53	1.560524	0.048042297
108	JDSNX	Jun 07, 2017	22.65	Mar 08, 2017	22.3	1.5695114	1.0709534	*BT*
109	FLSAX	Jun 07, 2017	52.42	Mar 08, 2017	51.59	1.6088333	0.7108536
110	FSMVX	Jun 07, 2017	25.97	Mar 08, 2017	25.55	1.643837	0.5030899
111	VWNDX	Jun 07, 2017	22.1	Mar 08, 2017	21.74	1.6559372	0.68336487
112	VWNFX	Jun 07, 2017	37.33	Mar 08, 2017	36.71	1.6889191	0.64707947
113	FINPX	Jun 07, 2017	12.03	Mar 08, 2017	11.83	1.6906128	0.0
114	FIPAX	Jun 07, 2017	11.89	Mar 08, 2017	11.69	1.7108688	0.0
115	FSLBX	Jun 07, 2017	71.43	Mar 08, 2017	70.22	1.7231598	2.3498993
116	FGMNX	Jun 07, 2017	11.5	Mar 08, 2017	11.3	1.7699127	0.17422485
117	FTHRX	Jun 07, 2017	10.92	Mar 08, 2017	10.73	1.7707443	0.091659546
118	VIPSX	Jun 07, 2017	13.21	Mar 08, 2017	12.98	1.771965	0.0
119	PRIPX	Jun 07, 2017	11.93	Mar 08, 2017	11.72	1.7918091	0.0
120	ACITX	Jun 07, 2017	11.75	Mar 08, 2017	11.54	1.8197556	0.0
121	SWRSX	Jun 07, 2017	11.14	Mar 08, 2017	10.94	1.8281555	-0.08968353
122	VEIPX	Jun 07, 2017	34.43	Mar 08, 2017	33.79	1.894043	0.4962082
123	PKB	Jun 08, 2017	29.25	Mar 09, 2017	28.7	1.9163742	0.3430481
124	PRRDX	Jun 07, 2017	11.07	Mar 08, 2017	10.86	1.9337082	0.0
125	FIRMX	Jun 07, 2017	60.55	Mar 08, 2017	59.39	1.953186	0.24833679
126	TIP	Jun 08, 2017	114.27	Mar 09, 2017	112.07	1.9630585	-0.08744049
127	NHINX	Jun 07, 2017	8.82	Mar 08, 2017	8.65	1.9653168	-0.11325836
128	FMSFX	Jun 07, 2017	11.31	Mar 08, 2017	11.09	1.9837723	0.17715454
129	FMEIX	Jun 07, 2017	14.85	Mar 08, 2017	14.56	1.9917603	0.74627686
130	PGNDX	Jun 07, 2017	11.19	Mar 08, 2017	10.97	2.005455	0.08943939
131	VFIIX	Jun 07, 2017	10.61	Mar 08, 2017	10.4	2.019226	0.1888504
132	CXXRX	Jun 07, 2017	24.51	Mar 08, 2017	24.02	2.0399704	1.7012482	*BT*
133	NAESX	Jun 07, 2017	64.41	Mar 08, 2017	63.12	2.0437393	1.1940384
134	DIA	Jun 08, 2017	211.86	Mar 09, 2017	207.47	2.1159668	0.21760559	*P*
