C:\tools\jdk1.8.0_77\bin\java -Didea.launcher.port=7533 "-Didea.launcher.bin.path=C:\Program Files (x86)\JetBrains\IntelliJ IDEA 2016.2\bin" -Dfile.encoding=UTF-8 -classpath "C:\tools\jdk1.8.0_77\jre\lib\charsets.jar;C:\tools\jdk1.8.0_77\jre\lib\deploy.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\access-bridge-64.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\cldrdata.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\dnsns.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\jaccess.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\jfxrt.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\localedata.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\nashorn.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\sunec.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\sunjce_provider.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\sunmscapi.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\sunpkcs11.jar;C:\tools\jdk1.8.0_77\jre\lib\ext\zipfs.jar;C:\tools\jdk1.8.0_77\jre\lib\javaws.jar;C:\tools\jdk1.8.0_77\jre\lib\jce.jar;C:\tools\jdk1.8.0_77\jre\lib\jfr.jar;C:\tools\jdk1.8.0_77\jre\lib\jfxswt.jar;C:\tools\jdk1.8.0_77\jre\lib\jsse.jar;C:\tools\jdk1.8.0_77\jre\lib\management-agent.jar;C:\tools\jdk1.8.0_77\jre\lib\plugin.jar;C:\tools\jdk1.8.0_77\jre\lib\resources.jar;C:\tools\jdk1.8.0_77\jre\lib\rt.jar;C:\henry\finance\target\classes;C:\henry\finance\lib\commons-codec-1.4.jar;C:\henry\finance\lib\commons-logging-1.1.1.jar;C:\henry\finance\lib\h2-1.3.159.jar;C:\henry\finance\lib\httpclient-4.1.2.jar;C:\henry\finance\lib\httpclient-cache-4.1.2.jar;C:\henry\finance\lib\httpcore-4.1.2.jar;C:\henry\finance\lib\httpmime-4.1.2.jar;C:\Users\hyang\.m2\repository\org\apache\httpcomponents\httpclient\4.1.2\httpclient-4.1.2.jar;C:\Users\hyang\.m2\repository\org\apache\httpcomponents\httpcore\4.1.2\httpcore-4.1.2.jar;C:\Users\hyang\.m2\repository\commons-logging\commons-logging\1.1.1\commons-logging-1.1.1.jar;C:\Users\hyang\.m2\repository\commons-codec\commons-codec\1.4\commons-codec-1.4.jar;C:\Program Files (x86)\JetBrains\IntelliJ IDEA 2016.2\lib\idea_rt.jar" com.intellij.rt.execution.application.AppMain com.hy.financial.client
URL: http://ichart.finance.yahoo.com/table.csv?&g=d&ignore=.csv&e=28&d=10&f=2016&b=28&a=6&c=2016
1 ACITX 2016-11-25 11.67 2016-08-26 11.88 -1.7676773 -0.2564087
2 ACWV 2016-11-25 72.77 2016-08-26 76.28 -4.601471 0.08251953
3 AMLP 2016-11-25 12.23 2016-08-26 12.288782 -0.47834778 -0.081703186
4 ASHR 2016-11-25 25.7 2016-08-26 24.9 3.21286 2.4720917
5 BCHYX 2016-11-25 10.23 2016-08-26 10.879415 -5.969208 -1.1594315
6 BCITX 2016-11-25 11.65 2016-08-26 12.170597 -4.277504 -0.8510666
7 BCLTX 2016-11-25 11.43 2016-08-26 12.080169 -5.382118 -0.9532013
8 BMBSX 2016-11-25 11.71 2016-08-26 12.124747 -3.4206696 -0.7627106
9 BND 2016-11-25 80.92 2016-08-26 83.55976 -3.1591263 -0.39389038
10 BRSVX 2016-11-25 24.42 2016-08-26 21.69 12.586441 3.386963
11 BSV 2016-11-25 79.63 2016-08-26 80.4024 -0.96066284 -0.1880188
12 BTTTX 2016-11-25 102.79 2016-08-26 104.78 -1.8992157 -0.41658783
13 BULIX 2016-11-25 18.46 2016-08-26 18.401028 0.32048035 2.8985367
14 CGMRX 2016-11-25 31.0 2016-08-26 28.2 9.9290695 4.553116
15 CHAD 2016-11-25 39.51 2016-08-26 41.26 -4.241394 -2.516655
16 CHTTX 2016-11-25 41.8 2016-08-26 37.41 11.734833 2.3506393
17 CSCO 2016-11-25 30.09 2016-08-26 31.093033 -3.225914 0.13311005
18 DBC 2016-11-25 15.01 2016-08-26 14.87 0.9414902 3.1615143
19 DIA 2016-11-25 191.3 2016-08-26 182.76501 4.6699295 1.3418655
20 DODFX 2016-11-25 38.3 2016-08-26 37.82 1.2691727 -0.23443604
21 DODGX 2016-11-25 188.08 2016-08-26 169.9707 10.654366 1.1019745
22 DODIX 2016-11-25 13.59 2016-08-26 13.815301 -1.630806 -0.2934723
23 DRTAX 2016-11-25 11.49 2016-08-26 12.085347 -4.926193 -0.86281586
24 EEH 2016-11-25 16.25 2016-08-26 16.23 0.12322998 2.8480988
25 EEM 2016-11-25 35.25 2016-08-26 36.76 -4.1077194 1.4388428
26 EEMV 2016-11-25 50.09 2016-08-26 53.52 -6.408821 0.7441635
27 EES 2016-11-25 94.36 2016-08-26 83.84249 12.544373 3.4535675
28 EFA 2016-11-25 56.79 2016-08-26 58.37 -2.706871 -0.05279541
29 EMLC 2016-11-25 17.26 2016-08-26 18.705944 -7.729866 -0.69044495
30 EPU 2016-11-25 32.19 2016-08-26 33.51 -3.939125 0.21792603
